,,Theft,Burglary,Simple Assault,Aggravated Assault,Homicide,Robbery,Kidnapping,Other,Pop.2010,Total,Total/Pop
Allegheny Center,,144,28,140,248,10,92,16,690,933,1368,1.466238
Allegheny West,,40,24,22,12,0,0,0,63,462,161,0.348485
Allentown,,144,64,338,148,10,64,64,442,2500,1214,0.4856
Arlington,,72,28,130,100,0,40,40,100,1869,470,0.251471
Arlington Heights,,12,0,72,116,0,28,28,43,244,271,1.110656
Upper Lawrenceville,,76,44,86,24,0,16,16,77,2669,327,0.122518
West End,,32,16,42,28,20,24,24,156,254,334,1.314961
West Oakland,,96,44,118,68,20,36,36,126,2604,516,0.198157
Westwood,,132,12,100,44,0,40,40,68,3066,396,0.129159
Windgap,,12,12,58,40,0,12,12,40,174,174,0.1271
